date,time,symbol,side,leverage,open_price,close_price,roi_pct,pnl_usdt
2025-08-27,19:01,PENGU-USDT-SWAP,空,10,0.03094,0.03016,25.25,3906
2025-08-26,17:26,SOL-USDT-SWAP,多,10,189.42,202.71,70.14,26600
2025-08-23,10:50,WIF-USDT-SWAP,空,10,0.8661,0.7852,93.49,8098
2025-08-23,10:51,PENGU-USDT-SWAP,空,10,0.03532,0.03042,138.61,14700
2025-08-23,10:52,BONK-USDT-SWAP,空,10,0.0000219,0.0000205,63.42,4170
2025-08-23,04:03,ARB-USDT-SWAP,多,10,0.5744,,,-762
2025-08-16,21:56,ETH-USDT-SWAP,多,10,4329.13,4431.65,23.69,15900
2025-08-17,09:16,ETH-USDT-251226,多,10,4596.57,4809.35,46.3,12800
2025-08-17,23:48,ARB-USDT-SWAP,多,10,0.5482,0.5226,-46.7,-512
2025-08-17,17:13,WIF-USDT-SWAP,空,10,0.8999,0.8914,9.45,0.85
2025-08-02,12:31,ETH-USDT-251226,多,10,3650.22,4752.26,301.92,143000
2025-08-15,10:14,ETH-USDT-SWAP,多,10,4616.99,4634.35,3.77,174
