交易对,方向,名义杠杆,开仓时间,开仓均价,平仓均价,收益率,收益,累计收益,实际杠杆,当前回撤,价格波幅,收益增幅
JUP-USDT-SWAP,多,10,2025/5/23 10:56,0.6155,0.6111,-7.15%,-180,-180,2.56 ,1.8%,-0.71%,-1.8%
WIF-USDT-SWAP,空,10,2025/5/23 12:51,1.3291,1.2905,29.03%,386,206,1.30 ,0.0%,-2.90%,3.9%
WIF-USDT-SWAP,空,10,2025/5/23 14:41,1.2348,1.2001,28.17%,870,1076,2.80 ,0.0%,-2.81%,8.5%
WIF-USDT-SWAP,空,10,2025/5/24 15:56,1.1107,1.1048,5.32%,59,1135,1.00 ,0.0%,-0.53%,0.5%
ETH-USDT-SWAP,多,10,2025/5/24 18:48,2570,2547.36,-8.81%,-260,875,2.71 ,2.3%,-0.88%,-2.3%
WIF-USDT-SWAP,空,10,2025/5/25 15:18,1.0753,1.0307,41.50%,446,1321,0.95 ,0.0%,-4.15%,4.1%
BONK-USDT-SWAP,空,10,2025/5/25 17:00,0.00001994,0.00001942,26.08%,312,1633,1.03 ,0.0%,-2.61%,2.8%
BOME-USDT-SWAP,空,9,2025/5/25 17:49,0.002207,0.002134,29.77%,365,1998,0.92 ,0.0%,-3.31%,3.1%
WIF-USDT-SWAP,空,10,2025/5/26 1:13,1.1239,1.1328,-8.01%,-180,1818,1.92 ,1.5%,0.79%,-1.5%
BONK-USDT-SWAP,空,10,2025/5/26 8:55,0.00002135,0.00002067,31.86%,340,2158,0.88 ,0.0%,-3.19%,2.9%
BOME-USDT-SWAP,空,9,2025/5/26 10:50,0.002281,0.00231,-11.51%,-292,1866,1.94 ,2.4%,1.27%,-2.4%
BOME-USDT-SWAP,空,9,2025/5/27 22:49,0.002315,0.0023,5.84%,150,2016,1.93 ,1.2%,-0.65%,1.3%
BONK-USDT-SWAP,空,10,2025/5/27 22:50,0.00002071,0.00001994,37.19%,770,2786,1.62 ,0.0%,-3.72%,6.4%
WIF-USDT-SWAP,空,10,2025/5/27 22:50,1.1191,1.1078,10.10%,226,3012,1.72 ,0.0%,-1.01%,1.8%
ETH-USDT-250606,多,20,2025/5/29 1:03,2658.78,2730.38,53.86%,854,3866,2.29 ,0.0%,2.69%,6.6%
ETH-USDT-250606,多,20,2025/5/29 1:03,2658.78,2730.38,53.86%,854,4720,2.15 ,0.0%,2.69%,6.2%
ETH-USDT-250926,多,20,2025/5/29 1:15,2716.91,2782.9,48.59%,660,5380,1.77 ,0.0%,2.43%,4.5%
TAO-USDT-SWAP,多,10,2025/5/31 14:26,408.8,427.2,45.01%,1840,7220,2.37 ,0.0%,4.50%,12.0%
ETH-USDT-SWAP,空,10,2025/5/31 20:58,2566,2599.18,-12.94%,-996,6224,4.75 ,5.8%,1.29%,-5.8%
