交易对,方向,开仓时间,开仓时间戳,开仓价,平仓时间,平仓时间戳,平仓价,数量,收益,收益率,手续费,原因,仓位,累计收益,实际杠杆,当前回撤
TRX-USDT-SWAP,多,2025-05-05 05:00:00,1746421200000,0.25021502,2025-05-05 08:00:00,1746432000000,0.24720528,59954.434630,-198.34,-0.0132,17.89,移动止盈/止损,1.5002,-198.34,1.5002,0.0000
VIRTUAL-USDT-SWAP,多,2025-05-05 08:00:00,1746432000000,1.81418140,2025-05-05 13:00:00,1746450000000,1.70572941,1662.058280,-183.76,-0.0609,3.51,移动止盈/止损,0.3069,-382.10,0.3069,-0.0187
LTC-USDT-SWAP,多,2025-05-05 05:00:00,1746421200000,88.18881800,2025-05-05 15:00:00,1746457200000,85.65143400,94.721230,-250.22,-0.0300,9.88,移动止盈/止损,0.8355,-632.33,0.8355,-0.0443
PENDLE-USDT-SWAP,空,2025-05-05 11:00:00,1746442800000,3.17778219,2025-05-05 17:00:00,1746464400000,3.22882285,119.300765,-6.55,-0.0173,0.46,对齐失效,0.0395,-638.88,0.0395,-0.0449
WIF-USDT-SWAP,空,2025-05-05 15:00:00,1746457200000,0.53544645,2025-05-05 18:00:00,1746468000000,0.55445544,9362.006543,-184.08,-0.0367,6.12,移动止盈/止损,0.5253,-822.96,0.5253,-0.0637
AVAX-USDT-SWAP,空,2025-05-05 10:00:00,1746439200000,19.68503130,2025-05-05 22:00:00,1746482400000,19.78097790,420.549513,-50.31,-0.0061,9.96,移动止盈/止损,0.8704,-873.27,0.8704,-0.0689
ZEC-USDT-SWAP,多,2025-05-05 08:00:00,1746432000000,36.33363300,2025-05-06 00:00:00,1746489600000,36.39636000,223.174604,4.26,0.0005,9.74,移动止盈/止损,0.8253,-869.01,0.8253,-0.0684
SUI-USDT-SWAP,多,2025-05-05 13:00:00,1746450000000,3.46264623,2025-05-06 01:00:00,1746493200000,3.31086888,775.589170,-120.87,-0.0450,3.15,移动止盈/止损,0.2804,-989.88,0.2804,-0.0808
TON-USDT-SWAP,空,2025-05-05 10:00:00,1746439200000,2.98690128,2025-05-06 03:00:00,1746500400000,3.00680065,356.719171,-8.38,-0.0079,1.28,移动止盈/止损,0.1120,-998.26,0.1120,-0.0816
TAO-USDT-SWAP,多,2025-05-05 17:00:00,1746464400000,369.90698700,2025-05-06 03:00:00,1746500400000,371.00289600,7.907585,5.15,0.0018,3.52,移动止盈/止损,0.3103,-993.11,0.3103,-0.0811
