交易对,方向,开仓时间,开仓时间戳,开仓价,平仓时间,平仓时间戳,平仓价,数量,收益,收益率,手续费,原因,仓位,累计收益,实际杠杆,当前回撤
BOME-USDT-SWAP,空,2025-05-05 12:00:00,1746446400000,0.00136686,2025-05-05 18:00:00,1746468000000,0.00139014,1279944.236614,-31.91,-0.0182,2.12,移动止盈/止损,0.1750,-31.91,0.1750,0.0000
PENDLE-USDT-SWAP,空,2025-05-05 12:00:00,1746446400000,3.17188278,2025-05-05 18:00:00,1746468000000,3.23622359,634.649612,-43.27,-0.0215,2.44,移动止盈/止损,0.2013,-75.18,0.2013,-0.0043
TON-USDT-SWAP,空,2025-05-05 12:00:00,1746446400000,2.97640233,2025-05-06 03:00:00,1746500400000,3.00680065,935.222633,-31.79,-0.0114,3.36,移动止盈/止损,0.2784,-106.97,0.2784,-0.0075
TAO-USDT-SWAP,多,2025-05-06 04:00:00,1746504000000,377.05770200,2025-05-06 09:00:00,1746522000000,365.78341800,4.114406,-48.22,-0.0311,1.83,移动止盈/止损,0.1568,-155.19,0.1568,-0.0124
NEAR-USDT-SWAP,空,2025-05-05 20:00:00,1746475200000,2.29977000,2025-05-06 18:00:00,1746554400000,2.31323130,735.186240,-11.93,-0.0071,2.03,移动止盈/止损,0.1699,-167.12,0.1699,-0.0136
OP-USDT-SWAP,空,2025-05-05 20:00:00,1746475200000,0.64113588,2025-05-06 22:00:00,1746568800000,0.61346134,2575.941696,69.35,0.0420,1.94,移动止盈/止损,0.1660,-97.77,0.1660,-0.0066
APT-USDT-SWAP,空,2025-05-06 20:00:00,1746561600000,4.65813414,2025-05-06 22:00:00,1746568800000,4.75557551,371.913989,-38.34,-0.0221,2.10,移动止盈/止损,0.1741,-136.11,0.1741,-0.0105
VIRTUAL-USDT-SWAP,空,2025-05-06 12:00:00,1746532800000,1.44735525,2025-05-07 01:00:00,1746579600000,1.50595058,336.828854,-20.33,-0.0417,0.60,移动止盈/止损,0.0491,-156.45,0.0491,-0.0125
TAO-USDT-SWAP,多,2025-05-07 00:00:00,1746576000000,384.08840500,2025-05-07 05:00:00,1746594000000,367.11328500,2.901824,-50.57,-0.0454,1.31,移动止盈/止损,0.1131,-207.01,0.1131,-0.0176
ZEC-USDT-SWAP,多,2025-05-07 00:00:00,1746576000000,38.38383800,2025-05-07 07:00:00,1746601200000,37.71622800,34.660419,-24.72,-0.0186,1.58,移动止盈/止损,0.1351,-231.74,0.1351,-0.0200
BNB-USDT-SWAP,多,2025-05-07 04:00:00,1746590400000,604.44043800,2025-05-07 14:00:00,1746626400000,602.86970700,8.106018,-18.60,-0.0038,5.87,移动止盈/止损,0.5000,-250.34,0.5000,-0.0219
VIRTUAL-USDT-SWAP,空,2025-05-07 16:00:00,1746633600000,1.30416957,2025-05-07 22:00:00,1746655200000,1.41194118,512.184857,-56.03,-0.0839,0.83,移动止盈/止损,0.0685,-306.37,0.0685,-0.0275
OP-USDT-SWAP,空,2025-05-07 16:00:00,1746633600000,0.58204179,2025-05-07 22:00:00,1746655200000,0.59635963,2275.347172,-34.19,-0.0258,1.61,移动止盈/止损,0.1358,-340.56,0.1358,-0.0310
BCH-USDT-SWAP,多,2025-05-08 00:00:00,1746662400000,384.51844800,2025-05-08 01:00:00,1746666000000,406.60933500,3.230223,69.83,0.0562,1.53,移动止盈/止损,0.1276,-270.74,0.1276,-0.0240
