交易对,方向,开仓时间,开仓价,平仓时间,平仓价,数量,收益,收益率,手续费,原因,仓位,累计收益,实际杠杆,当前回撤,持仓天数,当前收益(占权益),加仓次数
BTC-USDT-SWAP,多,2025-05-08 00:00:00,98260.41012471,2025-05-08 13:00:00,99246.37437000,0.083120,72.10,0.0088,9.85,移动止盈/止损,0.8002,72.10,0.8002,0.0000,0.5417,0.007159,2
BCH-USDT-SWAP,多,2025-05-08 00:00:00,402.47397799,2025-05-09 03:00:00,414.96849900,7.260598,87.16,0.0298,3.56,移动止盈/止损,0.2755,159.26,0.2755,0.0000,1.1250,0.008579,2
SUI-USDT-SWAP,多,2025-05-08 02:00:00,3.72381859,2025-05-09 03:00:00,3.83181678,1193.750108,123.51,0.0278,5.41,移动止盈/止损,0.4379,282.77,0.4379,0.0000,1.0417,0.012012,3
SOL-USDT-SWAP,多,2025-05-08 02:00:00,155.46990031,2025-05-09 12:00:00,172.38276000,35.292120,589.95,0.1075,6.94,移动止盈/止损,0.5186,872.72,0.5186,0.0000,1.4167,0.054260,3
ETH-USDT-SWAP,多,2025-05-08 14:00:00,2101.16708447,2025-05-09 23:00:00,2344.06557000,2.769294,665.27,0.1143,7.39,移动止盈/止损,0.5613,1537.99,0.5613,0.0000,1.3750,0.057660,2
BOME-USDT-SWAP,多,2025-05-09 04:00:00,0.00192727,2025-05-10 10:00:00,0.00207579,2288567.939914,334.41,0.0758,5.50,移动止盈/止损,0.4052,1872.40,0.4052,0.0000,1.2500,0.028167,3
TAO-USDT-SWAP,多,2025-05-09 04:00:00,439.90951732,2025-05-10 11:00:00,438.08618700,10.555201,-24.81,-0.0053,5.56,移动止盈/止损,0.3862,1847.59,0.3862,-0.0021,1.2917,-0.002094,2
WIF-USDT-SWAP,多,2025-05-10 02:00:00,0.83853642,2025-05-11 00:00:00,0.91670832,2001.692766,154.37,0.0920,2.11,移动止盈/止损,0.1459,2001.96,0.1459,0.0000,0.9167,0.012862,2
AVAX-USDT-SWAP,多,2025-05-10 12:00:00,24.73405050,2025-05-11 07:00:00,24.51954780,90.080385,-21.98,-0.0099,2.66,移动止盈/止损,0.1650,1979.98,0.1650,-0.0018,0.7917,-0.001835,1
NEAR-USDT-SWAP,多,2025-05-09 12:00:00,3.04110530,2025-05-11 13:00:00,3.09769020,2721.336792,143.96,0.0174,10.02,移动止盈/止损,0.6576,2123.94,0.6576,0.0000,2.0417,0.011874,3
ARB-USDT-SWAP,多,2025-05-10 10:00:00,0.41391497,2025-05-11 13:00:00,0.44715528,16087.273901,526.43,0.0791,8.31,移动止盈/止损,0.5631,2650.38,0.5631,0.0000,1.1250,0.041615,3
OP-USDT-SWAP,多,2025-05-11 00:00:00,0.91489148,2025-05-11 13:00:00,0.84521547,1108.170613,-78.38,-0.0773,1.17,移动止盈/止损,0.0738,2571.99,0.0738,-0.0062,0.5417,-0.006235,0
BOME-USDT-SWAP,多,2025-05-11 12:00:00,0.00238361,2025-05-12 05:00:00,0.00250975,1297484.234838,159.85,0.0517,3.81,移动止盈/止损,0.2672,2731.84,0.2672,0.0000,0.7083,0.012555,2
BONK-USDT-SWAP,多,2025-05-12 08:00:00,0.02528453,2025-05-12 12:00:00,0.02350665,29089.730679,-52.57,-0.0715,0.85,移动止盈/止损,0.0576,2679.27,0.0576,-0.0041,0.1667,-0.004146,0
WIF-USDT-SWAP,多,2025-05-12 06:00:00,1.22712542,2025-05-12 18:00:00,1.09829016,1026.165315,-133.64,-0.1061,1.43,移动止盈/止损,0.1016,2545.63,0.1016,-0.0146,0.5000,-0.010652,1
ETH-USDT-SWAP,多,2025-05-13 16:00:00,2631.36372974,2025-05-14 08:00:00,2596.15035900,1.688364,-64.75,-0.0146,5.30,移动止盈/止损,0.3565,2480.89,0.3565,-0.0197,0.6667,-0.005188,1
AVAX-USDT-SWAP,多,2025-05-14 02:00:00,26.23062280,2025-05-14 08:00:00,25.43245650,76.015337,-63.03,-0.0316,2.36,移动止盈/止损,0.1596,2417.86,0.1596,-0.0247,0.2500,-0.005076,0
BOME-USDT-SWAP,多,2025-05-13 16:00:00,0.00309401,2025-05-14 13:00:00,0.00279972,406574.862530,-121.09,-0.0963,1.44,移动止盈/止损,0.1030,2296.77,0.1030,-0.0342,0.8750,-0.009847,1
PENDLE-USDT-SWAP,多,2025-05-13 22:00:00,4.22502246,2025-05-15 03:00:00,4.04609535,358.219427,-65.87,-0.0435,1.78,移动止盈/止损,0.1202,2230.90,0.1202,-0.0393,1.2083,-0.005386,0
VIRTUAL-USDT-SWAP,多,2025-05-18 16:00:00,2.07210719,2025-05-18 18:00:00,1.96140384,471.991781,-53.39,-0.0546,1.14,移动止盈/止损,0.0800,2177.50,0.0800,-0.0435,0.0833,-0.004385,0
BTC-USDT-SWAP,多,2025-05-18 22:00:00,105909.78992000,2025-05-19 03:00:00,103559.04306000,0.034417,-85.23,-0.0234,4.33,移动止盈/止损,0.2993,2092.27,0.2993,-0.0502,0.2083,-0.007049,0
TRX-USDT-SWAP,多,2025-05-20 18:00:00,0.27389739,2025-05-20 19:00:00,0.27051295,17527.940230,-65.05,-0.0135,5.73,移动止盈/止损,0.3975,2027.22,0.3975,-0.0553,0.0417,-0.005408,0
UNI-USDT-SWAP,多,2025-05-21 06:00:00,6.46764670,2025-05-21 09:00:00,6.16838310,186.981929,-57.37,-0.0474,1.42,移动止盈/止损,0.0996,1969.85,0.0996,-0.0598,0.1250,-0.004793,0
