分类,阶段,笔数,胜率,盈亏比,总收益,单笔均值,收益率均值,收益率波动,收益率最小,收益率最大,收益率偏度,p01,p05,p10,p25,p50,p75,p90,p95,p99
阶段,前期,40,0.3750,3.7182,2026.96,50.67,0.0050,0.0281,,,,,,,,,,,
阶段,中期,40,0.5000,1.9334,1273.58,31.84,0.0028,0.0179,,,,,,,,,,,
阶段,后期,42,0.4524,1.6799,603.33,14.36,0.0011,0.0124,,,,,,,,,,,
总体,总体,122,0.4426,2.3827,3903.86,32.00,0.0030,0.0205,,,,,,,,,,,
分布-总体,—,122,,,,,0.0030,0.0205,-0.0208,0.1436,4.1416,-0.0147,-0.0094,-0.0079,-0.0065,-0.0007,0.0039,0.0084,0.0493,0.0856
分布-多,—,122,,,,,0.0030,0.0205,-0.0208,0.1436,4.1416,-0.0147,-0.0094,-0.0079,-0.0065,-0.0007,0.0039,0.0084,0.0493,0.0856
指标-总体,—,122,0.4426,,,,,,,,,,,,,,,,
指标-明细-总体,—,,,,,,,,,,,MaxDD=-0.0671,Fees=610.10,PF=1.7726,AvgWinROI=0.0141,AvgLossROI=-0.0059,AvgWin=165.87,AvgLoss=-74.31,HoldMean=0.7227,HoldMed=0.4167,LevMean=0.3352
指标-多,—,122,0.4426,,,,,,,,,,,,,,,,
指标-明细-多,—,,,,,,,,,,,MaxDD=-0.0671,Fees=610.10,PF=1.7726,AvgWinROI=0.0141,AvgLossROI=-0.0059,AvgWin=165.87,AvgLoss=-74.31,HoldMean=0.7227,HoldMed=0.4167,LevMean=0.3352
