交易对,方向,开仓时间,开仓价,平仓时间,平仓价,数量,收益,收益率,手续费,原因,仓位,累计收益,实际杠杆,当前回撤,持仓天数,当前收益(占权益),加仓次数
BCH-USDT-SWAP,多,2025-05-08 04:00:00,419.00289244,2025-05-09 03:00:00,414.96849900,8.229643,-37.32,-0.0037,4.12,移动止盈/止损,0.3323,-37.32,0.3323,0.0000,0.9583,-0.003746,1
BOME-USDT-SWAP,多,2025-05-09 04:00:00,0.00175118,2025-05-09 05:00:00,0.00180482,901774.836843,46.45,0.0045,1.92,移动止盈/止损,0.1526,9.13,0.1526,0.0000,0.0417,0.004641,0
SUI-USDT-SWAP,多,2025-05-08 08:00:00,3.96287157,2025-05-11 02:00:00,4.01269869,1606.931765,72.38,0.0072,7.69,移动止盈/止损,0.5883,81.51,0.5883,0.0000,2.7500,0.007179,2
TAO-USDT-SWAP,多,2025-05-08 04:00:00,432.69935159,2025-05-12 11:00:00,455.87440800,23.871801,540.50,0.0541,12.73,移动止盈/止损,0.9961,622.01,0.9961,0.0000,4.2917,0.050885,3
BOME-USDT-SWAP,多,2025-05-09 08:00:00,0.00224009,2025-05-12 12:00:00,0.00252075,2614786.214094,726.38,0.0683,7.47,移动止盈/止损,0.5736,1348.39,0.5736,0.0000,3.1667,0.064007,3
WIF-USDT-SWAP,多,2025-05-12 08:00:00,1.26472646,2025-05-12 14:00:00,1.11478851,626.182343,-94.78,-0.0079,0.89,移动止盈/止损,0.0661,1253.61,0.0661,-0.0084,0.2500,-0.008422,0
BOME-USDT-SWAP,多,2025-05-13 16:00:00,0.00309363,2025-05-13 23:00:00,0.00302270,509013.512909,-37.98,-0.0034,1.87,移动止盈/止损,0.1446,1215.64,0.1446,-0.0117,0.2917,-0.003386,1
ETH-USDT-SWAP,多,2025-05-14 00:00:00,2695.19949300,2025-05-14 08:00:00,2596.15035900,1.029276,-105.22,-0.0094,3.27,移动止盈/止损,0.2473,1110.42,0.2473,-0.0210,0.3333,-0.009470,0
TRUMP-USDT-SWAP,多,2025-05-20 20:00:00,14.10303703,2025-05-21 09:00:00,14.21757810,229.271374,22.37,0.0020,3.90,移动止盈/止损,0.2987,1132.79,0.2987,-0.0190,0.5417,0.002009,1
PENDLE-USDT-SWAP,多,2025-05-20 04:00:00,4.43944390,2025-05-21 17:00:00,4.29857010,392.154283,-57.30,-0.0052,2.06,移动止盈/止损,0.1567,1075.49,0.1567,-0.0240,1.5417,-0.005174,0
VIRTUAL-USDT-SWAP,多,2025-05-21 16:00:00,2.08120810,2025-05-21 17:00:00,1.94630535,684.032978,-93.93,-0.0084,1.65,移动止盈/止损,0.1275,981.55,0.1275,-0.0323,0.0417,-0.008554,0
ZEC-USDT-SWAP,多,2025-05-22 16:00:00,48.27482700,2025-05-22 17:00:00,49.87501200,38.532730,59.39,0.0054,2.27,移动止盈/止损,0.1696,1040.94,0.1696,-0.0271,0.0417,0.005379,0
TRUMP-USDT-SWAP,多,2025-05-22 12:00:00,15.74257410,2025-05-22 20:00:00,14.47755210,100.099852,-128.44,-0.0117,1.82,移动止盈/止损,0.1435,912.50,0.1435,-0.0384,0.3333,-0.011770,0
ZEC-USDT-SWAP,多,2025-05-23 00:00:00,49.91499100,2025-05-23 11:00:00,47.45525400,31.673522,-79.76,-0.0073,1.85,移动止盈/止损,0.1449,832.74,0.1449,-0.0454,0.4583,-0.007363,0
TON-USDT-SWAP,多,2025-06-05 12:00:00,3.25082505,2025-06-05 14:00:00,3.21897807,1254.132827,-44.81,-0.0041,4.87,移动止盈/止损,0.3764,787.93,0.3764,-0.0494,0.0833,-0.004154,0
BCH-USDT-SWAP,多,2025-06-08 16:00:00,417.64176000,2025-06-08 23:00:00,410.57893800,12.523101,-94.67,-0.0088,6.22,移动止盈/止损,0.4848,693.26,0.4848,-0.0577,0.2917,-0.008853,0
TAO-USDT-SWAP,多,2025-06-10 04:00:00,430.49304500,2025-06-10 14:00:00,427.51724400,6.007151,-20.97,-0.0018,3.09,移动止盈/止损,0.2267,672.29,0.2267,-0.0596,0.4167,-0.001965,0
ARB-USDT-SWAP,多,2025-06-10 20:00:00,0.40264026,2025-06-11 01:00:00,0.40335966,6367.200898,1.50,0.0001,3.08,移动止盈/止损,0.1900,673.79,0.1900,-0.0594,0.2083,0.000141,0
ARB-USDT-SWAP,多,2025-06-11 16:00:00,0.41994199,2025-06-11 19:00:00,0.40605939,6026.191928,-86.65,-0.0064,2.99,移动止盈/止损,0.1857,587.15,0.1857,-0.0671,0.1250,-0.008184,0
UNI-USDT-SWAP,多,2025-06-09 12:00:00,6.82440887,2025-06-12 11:00:00,7.78622130,1610.739856,1535.11,0.1436,14.12,移动止盈/止损,1.0001,2122.26,1.0001,0.0000,2.9583,0.126636,3
HYPE-USDT-SWAP,多,2025-06-09 16:00:00,39.91935208,2025-06-12 11:00:00,40.42895670,194.103046,89.56,0.0084,9.36,移动止盈/止损,0.6005,2211.82,0.6005,0.0000,2.7917,0.007334,2
XRP-USDT-SWAP,多,2025-06-16 16:00:00,2.30953093,2025-06-16 20:00:00,2.31816816,1739.491652,10.19,0.0008,4.83,移动止盈/止损,0.3290,2222.01,0.3290,0.0000,0.1667,0.000834,0
WIF-USDT-SWAP,多,2025-06-24 16:00:00,0.87778777,2025-06-24 19:00:00,0.83621637,2268.648262,-96.64,-0.0079,2.33,移动止盈/止损,0.1629,2125.37,0.1629,-0.0079,0.1250,-0.007970,0
