交易对,方向,开仓时间,开仓价,平仓时间,平仓价,数量,收益,收益率,手续费,原因,仓位,累计收益,实际杠杆,当前回撤,持仓天数,当前收益(占权益),加仓次数
TAO-USDT-SWAP,多,2025-05-07 00:00:00,384.08840500,2025-05-07 05:00:00,367.11328500,1.767516,-30.80,-0.4537,0.80,移动止盈/止损,0.0679,-30.80,0.0679,0.0000,0.2083,-0.003090,0
BNB-USDT-SWAP,多,2025-05-07 00:00:00,606.42323648,2025-05-07 16:00:00,599.94000000,10.813814,-77.94,-0.1188,7.83,移动止盈/止损,0.6588,-108.74,0.6588,-0.0078,0.6667,-0.007879,1
BCH-USDT-SWAP,多,2025-05-08 00:00:00,395.41039846,2025-05-10 06:00:00,416.66832900,3.381251,70.23,0.5253,1.65,对齐失效,0.1387,-38.51,0.1387,-0.0008,2.2500,0.007050,1
BOME-USDT-SWAP,多,2025-05-10 06:00:00,0.00216922,2025-05-10 16:00:00,0.00205779,179417.972193,-20.45,-0.5253,0.46,移动止盈/止损,0.0366,-58.95,0.0366,-0.0028,0.4167,-0.002057,0
WIF-USDT-SWAP,多,2025-05-10 21:00:00,0.94969496,2025-05-11 07:00:00,0.86821317,449.089946,-37.08,-0.8695,0.49,移动止盈/止损,0.0402,-96.03,0.0402,-0.0065,0.4167,-0.003744,0
ZEC-USDT-SWAP,多,2025-05-07 00:00:00,40.41176420,2025-05-11 18:00:00,42.17578200,92.681118,158.90,0.4242,4.59,对齐失效,0.3702,62.86,0.3702,0.0000,4.7500,0.015791,3
BTC-USDT-SWAP,多,2025-05-08 00:00:00,99251.16388045,2025-05-12 15:00:00,102471.45183000,0.101227,313.73,0.3123,12.25,对齐失效,1.0001,376.59,1.0001,0.0000,4.6250,0.030234,3
WIF-USDT-SWAP,多,2025-05-12 06:00:00,1.19451944,2025-05-12 18:00:00,1.09829016,276.055258,-26.94,-0.8171,0.38,移动止盈/止损,0.0309,349.65,0.0309,-0.0026,0.5000,-0.002603,0
BOME-USDT-SWAP,多,2025-05-11 12:00:00,0.00234837,2025-05-13 00:00:00,0.00226377,412962.518827,-36.08,-0.3720,1.14,移动止盈/止损,0.0991,313.57,0.0991,-0.0061,1.5000,-0.003498,1
ETH-USDT-SWAP,多,2025-05-13 18:00:00,2669.09688300,2025-05-14 08:00:00,2596.15035900,0.393287,-29.93,-0.2851,1.24,移动止盈/止损,0.1018,283.64,0.1018,-0.0090,0.5833,-0.002911,0
BOME-USDT-SWAP,多,2025-05-13 18:00:00,0.00312731,2025-05-14 12:00:00,0.00280972,96762.062830,-31.08,-1.0269,0.34,移动止盈/止损,0.0293,252.56,0.0293,-0.0120,0.7500,-0.003031,0
BTC-USDT-SWAP,多,2025-05-18 15:00:00,105494.74842000,2025-05-18 18:00:00,104445.25443000,0.031749,-37.32,-0.1114,4.00,移动止盈/止损,0.3267,215.24,0.3267,-0.0155,0.1250,-0.003653,0
UNI-USDT-SWAP,多,2025-05-21 06:00:00,6.46764670,2025-05-21 09:00:00,6.16838310,94.815360,-29.09,-0.4744,0.72,移动止盈/止损,0.0598,186.15,0.0598,-0.0184,0.1250,-0.002856,0
TRUMP-USDT-SWAP,多,2025-05-20 21:00:00,14.97065550,2025-05-22 20:00:00,14.47755210,237.881651,-121.50,-0.3412,4.20,移动止盈/止损,0.3601,64.65,0.3601,-0.0301,1.9583,-0.012072,3
ZEN-USDT-SWAP,多,2025-05-22 00:00:00,10.53601631,2025-05-23 11:00:00,9.94200570,466.974043,-283.13,-0.5755,5.74,移动止盈/止损,0.4881,-218.48,0.4881,-0.0573,1.4583,-0.028945,3
