交易对,方向,开仓时间,开仓价,平仓时间,平仓价,数量,收益,收益率,手续费,原因,仓位,累计收益,实际杠杆,当前回撤,持仓天数,当前收益(占权益),加仓次数
TAO-USDT-SWAP,多,2025-05-07 00:00:00,384.08840500,2025-05-07 05:00:00,367.11328500,1.767516,-30.80,-0.4537,0.80,移动止盈/止损,0.0679,-30.80,0.0679,0.0000,0.2083,-0.003090,0
BNB-USDT-SWAP,多,2025-05-07 00:00:00,606.42323648,2025-05-07 16:00:00,599.94000000,10.813814,-77.94,-0.1188,7.83,移动止盈/止损,0.6588,-108.74,0.6588,-0.0078,0.6667,-0.007879,1
ZEC-USDT-SWAP,多,2025-05-07 00:00:00,39.84898985,2025-05-08 01:00:00,40.15598400,66.539022,17.23,0.0650,3.19,移动止盈/止损,0.2731,-91.50,0.2731,-0.0061,1.0417,0.001739,2
BTC-USDT-SWAP,多,2025-05-08 00:00:00,99040.93948155,2025-05-08 12:00:00,99240.07500000,0.088788,7.12,0.0081,10.56,移动止盈/止损,0.8801,-84.39,0.8801,-0.0054,0.5000,0.000718,2
BCH-USDT-SWAP,多,2025-05-08 00:00:00,409.06117414,2025-05-09 00:00:00,417.67822800,6.711050,54.50,0.1985,3.33,移动止盈/止损,0.2786,-29.88,0.2786,0.0000,1.0000,0.005466,2
SUI-USDT-SWAP,多,2025-05-08 03:00:00,3.83411527,2025-05-09 03:00:00,3.83181678,1011.447712,-6.98,-0.0180,4.65,移动止盈/止损,0.3976,-36.86,0.3976,-0.0007,1.0000,-0.000700,3
WIF-USDT-SWAP,多,2025-05-09 00:00:00,0.69606960,2025-05-09 04:00:00,0.66353364,750.226472,-25.02,-0.4791,0.61,移动止盈/止损,0.0513,-61.88,0.0513,-0.0032,0.1667,-0.002518,0
PENDLE-USDT-SWAP,多,2025-05-08 12:00:00,3.73265140,2025-05-09 14:00:00,3.81141882,612.872648,45.50,0.1989,2.77,移动止盈/止损,0.2390,-16.38,0.2390,0.0000,1.0833,0.004558,2
VIRTUAL-USDT-SWAP,多,2025-05-09 06:00:00,2.13941392,2025-05-09 14:00:00,1.95320466,149.072498,-28.12,-0.8819,0.37,移动止盈/止损,0.0320,-44.51,0.0320,-0.0028,0.3333,-0.002825,0
BOME-USDT-SWAP,多,2025-05-09 06:00:00,0.00198889,2025-05-10 10:00:00,0.00207579,791808.578284,66.88,0.4247,1.93,移动止盈/止损,0.1698,22.37,0.1698,0.0000,1.1667,0.006673,2
WIF-USDT-SWAP,多,2025-05-10 03:00:00,0.90631218,2025-05-11 00:00:00,0.91670832,1552.345007,14.44,0.1026,1.70,移动止盈/止损,0.1413,36.81,0.1413,0.0000,0.8750,0.001439,2
NEAR-USDT-SWAP,多,2025-05-10 03:00:00,3.06197837,2025-05-11 13:00:00,3.09769020,1034.197839,33.11,0.1046,3.82,移动止盈/止损,0.3155,69.92,0.3155,0.0000,1.4167,0.003288,2
OP-USDT-SWAP,多,2025-05-11 00:00:00,0.91489148,2025-05-11 13:00:00,0.84521547,513.587365,-36.33,-0.7731,0.54,移动止盈/止损,0.0443,33.59,0.0443,-0.0036,0.5417,-0.003621,0
ARB-USDT-SWAP,多,2025-05-10 12:00:00,0.43058160,2025-05-11 15:00:00,0.44665533,7864.937767,122.28,0.3611,4.14,移动止盈/止损,0.3455,155.87,0.3455,0.0000,1.1250,0.012040,3
BOME-USDT-SWAP,多,2025-05-11 15:00:00,0.00236923,2025-05-12 15:00:00,0.00234277,374541.129236,-10.97,-0.1236,1.06,移动止盈/止损,0.0935,144.90,0.0935,-0.0011,1.0000,-0.001081,1
