交易对,方向,开仓时间,开仓时间戳,开仓价,平仓时间,平仓时间戳,平仓价,数量,收益,收益率,手续费,原因,仓位,累计收益,实际杠杆,当前回撤
TAO-USDT-SWAP,多,2025-05-06 04:00:00,1746504000000,377.05770200,2025-05-06 09:00:00,1746522000000,365.78341800,4.159165,-48.75,-0.0311,1.85,移动止盈/止损,0.1568,-48.75,0.1568,0.0000
TAO-USDT-SWAP,多,2025-05-07 00:00:00,1746576000000,384.08840500,2025-05-07 05:00:00,1746594000000,367.11328500,2.931485,-51.08,-0.0454,1.32,移动止盈/止损,0.1131,-99.83,0.1131,-0.0051
ZEC-USDT-SWAP,多,2025-05-07 00:00:00,1746576000000,38.38383800,2025-05-07 07:00:00,1746601200000,37.71622800,35.014701,-24.97,-0.0186,1.60,移动止盈/止损,0.1351,-124.80,0.1351,-0.0076
LTC-USDT-SWAP,多,2025-05-07 00:00:00,1746576000000,92.79927900,2025-05-07 12:00:00,1746619200000,90.64093500,13.078415,-29.67,-0.0244,1.44,移动止盈/止损,0.1220,-154.47,0.1220,-0.0106
BNB-USDT-SWAP,多,2025-05-07 12:00:00,1746619200000,608.19081300,2025-05-07 14:00:00,1746626400000,602.86970700,8.094921,-48.96,-0.0099,5.88,移动止盈/止损,0.5000,-203.43,0.5000,-0.0155
BCH-USDT-SWAP,多,2025-05-08 00:00:00,1746662400000,384.51844800,2025-05-08 01:00:00,1746666000000,406.60933500,3.275855,70.81,0.0562,1.55,移动止盈/止损,0.1276,-132.62,0.1276,-0.0084
ZEC-USDT-SWAP,多,2025-05-07 16:00:00,1746633600000,38.56385600,2025-05-08 09:00:00,1746694800000,39.70602900,37.070637,40.60,0.0284,1.74,移动止盈/止损,0.1459,-92.02,0.1459,-0.0043
BCH-USDT-SWAP,多,2025-05-08 04:00:00,1746676800000,413.90138600,2025-05-08 12:00:00,1746705600000,411.01889400,2.036353,-6.88,-0.0082,1.01,移动止盈/止损,0.0844,-98.89,0.0844,-0.0050
BTC-USDT-SWAP,多,2025-05-08 00:00:00,1746662400000,97734.87251000,2025-05-08 15:00:00,1746716400000,100720.72692000,0.040369,115.73,0.0293,4.81,移动止盈/止损,0.3998,16.84,0.3998,0.0000
WIF-USDT-SWAP,多,2025-05-08 16:00:00,1746720000000,0.66616661,2025-05-09 03:00:00,1746759600000,0.66463353,1570.263373,-3.66,-0.0035,1.25,移动止盈/止损,0.1041,13.17,0.1041,-0.0004
BCH-USDT-SWAP,多,2025-05-08 16:00:00,1746720000000,420.57205300,2025-05-09 09:00:00,1746781200000,408.51914400,2.966161,-37.23,-0.0298,1.48,移动止盈/止损,0.1242,-24.05,0.1242,-0.0041
PENDLE-USDT-SWAP,多,2025-05-08 12:00:00,1746705600000,3.56635660,2025-05-09 14:00:00,1746799200000,3.81141882,337.659697,81.25,0.0675,1.49,移动止盈/止损,0.1209,57.20,0.1209,0.0000
BOME-USDT-SWAP,多,2025-05-09 04:00:00,1746763200000,0.00175118,2025-05-10 00:00:00,1746835200000,0.00208179,624151.937201,204.92,0.1875,1.44,移动止盈/止损,0.1090,262.12,0.1090,0.0000
BOME-USDT-SWAP,多,2025-05-10 00:00:00,1746835200000,0.00208221,2025-05-10 01:00:00,1746838800000,0.00204880,232646.380423,-8.35,-0.0172,0.58,移动止盈/止损,0.0473,253.77,0.0473,-0.0008
DOT-USDT-SWAP,多,2025-05-10 04:00:00,1746849600000,5.05550550,2025-05-11 01:00:00,1746925200000,5.09249070,262.899056,8.12,0.0061,1.60,移动止盈/止损,0.1290,261.89,0.1290,-0.0000
WIF-USDT-SWAP,多,2025-05-10 00:00:00,1746835200000,0.78007800,2025-05-11 02:00:00,1746928800000,0.89601039,952.172605,109.43,0.1473,0.96,移动止盈/止损,0.0725,371.32,0.0725,0.0000
NEAR-USDT-SWAP,多,2025-05-09 12:00:00,1746792000000,2.92829280,2025-05-11 07:00:00,1746946800000,3.18368160,390.220363,98.23,0.0860,1.43,移动止盈/止损,0.1122,469.55,0.1122,0.0000
OP-USDT-SWAP,多,2025-05-11 04:00:00,1746936000000,0.92429242,2025-05-11 07:00:00,1746946800000,0.86501349,845.980954,-51.06,-0.0653,0.91,移动止盈/止损,0.0743,418.49,0.0743,-0.0049
FIL-USDT-SWAP,多,2025-05-11 04:00:00,1746936000000,3.27032700,2025-05-11 07:00:00,1746946800000,3.13768620,450.882280,-61.54,-0.0417,1.73,移动止盈/止损,0.1402,356.95,0.1402,-0.0108
BOME-USDT-SWAP,多,2025-05-11 12:00:00,1746964800000,0.00221022,2025-05-11 21:00:00,1746997200000,0.00219478,397607.428879,-7.19,-0.0082,1.05,移动止盈/止损,0.0849,349.76,0.0849,-0.0114
ZEC-USDT-SWAP,多,2025-05-11 20:00:00,1746993600000,44.45444500,2025-05-12 05:00:00,1747026000000,44.00559900,23.631229,-11.86,-0.0113,1.25,移动止盈/止损,0.1016,337.90,0.1016,-0.0126
TAO-USDT-SWAP,多,2025-05-12 00:00:00,1747008000000,473.32732800,2025-05-12 08:00:00,1747036800000,468.15318000,3.036304,-17.43,-0.0121,1.72,移动止盈/止损,0.1387,320.48,0.1387,-0.0142
BONK-USDT-SWAP,多,2025-05-12 08:00:00,1747036800000,0.02528453,2025-05-12 12:00:00,1747051200000,0.02350665,23679.324628,-42.79,-0.0715,0.69,移动止盈/止损,0.0576,277.69,0.0576,-0.0183
WIF-USDT-SWAP,多,2025-05-12 04:00:00,1747022400000,1.12851284,2025-05-12 13:00:00,1747054800000,1.17888210,548.685252,26.88,0.0434,0.76,移动止盈/止损,0.0598,304.56,0.0598,-0.0158
LINK-USDT-SWAP,多,2025-05-12 08:00:00,1747036800000,17.57675750,2025-05-12 14:00:00,1747058400000,16.89431040,75.826951,-53.32,-0.0400,1.57,移动止盈/止损,0.1282,251.25,0.1282,-0.0209
DOT-USDT-SWAP,多,2025-05-12 12:00:00,1747051200000,5.31953190,2025-05-12 14:00:00,1747058400000,5.12948700,256.798700,-50.41,-0.0369,1.61,移动止盈/止损,0.1326,200.83,0.1326,-0.0257
ETH-USDT-SWAP,多,2025-05-13 16:00:00,1747152000000,2597.10968500,2025-05-14 02:00:00,1747188000000,2636.90628300,0.719603,26.38,0.0141,2.26,移动止盈/止损,0.1832,227.21,0.1832,-0.0231
PENDLE-USDT-SWAP,多,2025-05-13 12:00:00,1747137600000,4.09660962,2025-05-14 03:00:00,1747191600000,4.13178678,277.079385,8.38,0.0074,1.37,移动止盈/止损,0.1113,235.59,0.1113,-0.0223
BOME-USDT-SWAP,多,2025-05-13 16:00:00,1747152000000,0.00296930,2025-05-14 08:00:00,1747209600000,0.00284072,163016.792672,-21.53,-0.0445,0.57,移动止盈/止损,0.0474,214.06,0.0474,-0.0244
AVAX-USDT-SWAP,多,2025-05-14 04:00:00,1747195200000,26.49464920,2025-05-14 08:00:00,1747209600000,25.43245650,57.792592,-63.19,-0.0413,1.80,移动止盈/止损,0.1495,150.87,0.1495,-0.0304
VIRTUAL-USDT-SWAP,多,2025-05-18 16:00:00,1747584000000,2.07210719,2025-05-18 18:00:00,1747591200000,1.96140384,391.723446,-44.31,-0.0546,0.95,移动止盈/止损,0.0800,106.56,0.0800,-0.0347
BTC-USDT-SWAP,多,2025-05-18 16:00:00,1747584000000,105799.77892000,2025-05-18 18:00:00,1747591200000,104445.25443000,0.047470,-70.29,-0.0140,5.99,移动止盈/止损,0.4948,36.27,0.4948,-0.0414
TON-USDT-SWAP,多,2025-05-18 16:00:00,1747584000000,3.18411838,2025-05-18 18:00:00,1747591200000,3.11188878,765.797343,-58.21,-0.0239,2.89,移动止盈/止损,0.2402,-21.93,0.2402,-0.0469
PENDLE-USDT-SWAP,多,2025-05-20 04:00:00,1747713600000,4.43944390,2025-05-20 12:00:00,1747742400000,4.31776818,251.561899,-31.93,-0.0286,1.32,移动止盈/止损,0.1119,-53.86,0.1119,-0.0500
TRUMP-USDT-SWAP,多,2025-05-20 20:00:00,1747771200000,13.72537240,2025-05-20 23:00:00,1747782000000,14.44555530,81.162465,57.08,0.0512,1.37,移动止盈/止损,0.1120,3.22,0.1120,-0.0445
BNB-USDT-SWAP,多,2025-05-21 04:00:00,1747800000000,661.39613300,2025-05-21 07:00:00,1747810800000,653.12468100,5.143050,-46.60,-0.0137,4.06,移动止盈/止损,0.3401,-43.38,0.3401,-0.0490
BTC-USDT-SWAP,多,2025-05-21 04:00:00,1747800000000,107258.12474000,2025-05-21 09:00:00,1747818000000,106143.78456000,0.030690,-38.13,-0.0116,3.93,移动止盈/止损,0.3291,-81.51,0.3291,-0.0526
TRUMP-USDT-SWAP,多,2025-05-21 04:00:00,1747800000000,14.57045690,2025-05-21 17:00:00,1747846800000,14.20757910,65.449690,-24.88,-0.0261,1.13,移动止盈/止损,0.0953,-106.39,0.0953,-0.0550
ZEN-USDT-SWAP,多,2025-05-21 12:00:00,1747828800000,9.71497140,2025-05-21 17:00:00,1747846800000,9.61903800,131.112967,-14.10,-0.0111,1.52,移动止盈/止损,0.1286,-120.49,0.1286,-0.0564
TAO-USDT-SWAP,多,2025-05-21 20:00:00,1747857600000,444.16441200,2025-05-22 22:00:00,1747951200000,462.48374700,2.240322,39.82,0.0400,1.22,移动止盈/止损,0.1009,-80.67,0.1009,-0.0526
BOME-USDT-SWAP,多,2025-05-22 00:00:00,1747872000000,0.00244024,2025-05-23 05:00:00,1747976400000,0.00262874,307730.522321,57.07,0.0760,0.94,移动止盈/止损,0.0759,-23.60,0.0759,-0.0471
WIF-USDT-SWAP,多,2025-05-21 16:00:00,1747843200000,1.15061505,2025-05-23 06:00:00,1747980000000,1.23097689,557.734906,44.02,0.0686,0.80,移动止盈/止损,0.0644,20.43,0.0644,-0.0429
ZEC-USDT-SWAP,多,2025-05-23 00:00:00,1747958400000,49.91499100,2025-05-23 07:00:00,1747983600000,47.80521900,20.791194,-45.08,-0.0434,1.22,移动止盈/止损,0.1035,-24.66,0.1035,-0.0472
SOL-USDT-SWAP,多,2025-05-23 08:00:00,1747987200000,186.18861700,2025-05-23 11:00:00,1747998000000,177.86221200,10.168124,-86.88,-0.0459,2.22,移动止盈/止损,0.1898,-111.54,0.1898,-0.0555
