交易对,方向,开仓时间,开仓价,平仓时间,平仓价,数量,收益,收益率,手续费,原因,仓位,累计收益,实际杠杆,当前回撤,持仓天数,当前收益(占权益),加仓次数
BCH-USDT-SWAP,多,2025-05-08 00:00:00,384.51844800,2025-05-08 01:00:00,406.60933500,1.991436,43.05,0.0043,0.95,移动止盈/止损,0.0766,43.05,0.0766,0.0000,0.0417,0.004286,0
BTC-USDT-SWAP,多,2025-05-08 00:00:00,99041.29135405,2025-05-08 13:00:00,99246.37437000,0.089432,7.70,0.0008,10.64,移动止盈/止损,0.8801,50.75,0.8801,0.0000,0.5417,0.000766,2
BCH-USDT-SWAP,多,2025-05-08 03:00:00,418.21314601,2025-05-09 03:00:00,414.96849900,3.642558,-13.64,-0.0014,1.82,移动止盈/止损,0.1506,37.11,0.1506,-0.0014,1.0000,-0.001359,1
SUI-USDT-SWAP,多,2025-05-08 03:00:00,3.83386327,2025-05-09 03:00:00,3.83181678,1017.211151,-6.76,-0.0007,4.68,移动止盈/止损,0.3981,30.35,0.3981,-0.0020,1.0000,-0.000674,3
PENDLE-USDT-SWAP,多,2025-05-08 15:00:00,3.69086905,2025-05-09 07:00:00,3.85471449,182.556286,29.08,0.0029,0.83,移动止盈/止损,0.0663,59.43,0.0663,0.0000,0.6667,0.002891,0
BONK-USDT-SWAP,多,2025-05-09 09:00:00,0.02115612,2025-05-09 10:00:00,0.02294371,23640.236067,41.63,0.0041,0.63,移动止盈/止损,0.0498,101.07,0.0498,0.0000,0.0417,0.004122,0
VIRTUAL-USDT-SWAP,多,2025-05-09 06:00:00,2.13941392,2025-05-09 14:00:00,1.95320466,150.068086,-28.31,-0.0028,0.37,移动止盈/止损,0.0320,72.75,0.0320,-0.0028,0.3333,-0.002811,0
NEAR-USDT-SWAP,多,2025-05-09 12:00:00,2.96280631,2025-05-10 11:00:00,2.92470750,573.759671,-23.89,-0.0024,2.03,移动止盈/止损,0.1674,48.87,0.1674,-0.0052,0.9583,-0.002377,1
WIF-USDT-SWAP,多,2025-05-10 03:00:00,0.87400425,2025-05-10 11:00:00,0.84411558,900.610172,-27.85,-0.0027,0.93,移动止盈/止损,0.0796,21.02,0.0796,-0.0079,0.3333,-0.002779,1
BOME-USDT-SWAP,多,2025-05-09 06:00:00,0.00198921,2025-05-10 12:00:00,0.00203780,799259.366616,36.90,0.0037,1.93,移动止盈/止损,0.1694,57.92,0.1694,-0.0043,1.2500,0.003669,2
