交易对,方向,开仓时间,开仓价,平仓时间,平仓价,数量,收益,收益率,手续费,原因,仓位,累计收益,实际杠杆,当前回撤,持仓天数,当前收益(占权益),加仓次数
TAO-USDT-SWAP,多,2025-05-07 00:00:00,384.08840500,2025-05-07 05:00:00,367.11328500,2.959871,-51.58,-0.0454,1.33,移动止盈/止损,0.1131,-51.58,0.1131,0.0000,0.2083,-0.005160,0
LTC-USDT-SWAP,多,2025-05-07 00:00:00,92.79927900,2025-05-07 15:00:00,88.73112600,13.205055,-55.16,-0.0450,1.44,移动止盈/止损,0.1220,-106.74,0.1220,-0.0055,0.6250,-0.005549,0
BNB-USDT-SWAP,多,2025-05-06 18:00:00,602.86928195,2025-05-07 16:00:00,599.94000000,16.477933,-60.16,-0.0061,11.89,移动止盈/止损,1.0001,-166.90,1.0001,-0.0115,0.9167,-0.006089,2
BCH-USDT-SWAP,多,2025-05-08 00:00:00,392.30325951,2025-05-09 09:00:00,408.51914400,4.465839,70.27,0.0401,2.15,移动止盈/止损,0.1749,-96.63,0.1749,-0.0045,1.3750,0.007062,2
ZEC-USDT-SWAP,多,2025-05-06 22:00:00,38.86851350,2025-05-10 11:00:00,41.89581000,117.047358,348.67,0.0766,5.67,移动止盈/止损,0.4547,252.04,0.4547,0.0000,3.5417,0.033853,3
SUI-USDT-SWAP,多,2025-05-08 02:00:00,3.54332466,2025-05-10 11:00:00,3.85741422,365.793998,113.27,0.0874,1.62,移动止盈/止损,0.1341,365.31,0.1341,0.0000,2.3750,0.010878,2
BOME-USDT-SWAP,多,2025-05-09 10:00:00,0.00198929,2025-05-10 12:00:00,0.00203780,753859.952485,34.75,0.0232,1.82,移动止盈/止损,0.1422,400.05,0.1422,0.0000,1.0833,0.003326,1
AVAX-USDT-SWAP,多,2025-05-10 12:00:00,24.65411202,2025-05-11 07:00:00,24.51954780,75.110197,-12.32,-0.0067,2.22,移动止盈/止损,0.1633,387.73,0.1633,-0.0012,0.7917,-0.001181,1
ARB-USDT-SWAP,多,2025-05-10 12:00:00,0.41998803,2025-05-11 13:00:00,0.44715528,9705.752674,258.63,0.0634,5.05,移动止盈/止损,0.3922,646.36,0.3922,0.0000,1.0417,0.024185,3
OP-USDT-SWAP,多,2025-05-10 14:00:00,0.80523351,2025-05-11 13:00:00,0.84521547,2893.732206,112.83,0.0484,2.87,移动止盈/止损,0.2238,759.19,0.2238,0.0000,0.9583,0.010441,2
BTC-USDT-SWAP,多,2025-05-08 00:00:00,98482.10930533,2025-05-12 00:00:00,104531.04585000,0.082278,487.67,0.0602,10.02,时间止损,0.7710,1246.86,0.7710,0.0000,4.0000,0.043179,3
TAO-USDT-SWAP,多,2025-05-12 00:00:00,473.32732800,2025-05-12 11:00:00,455.87440800,3.301127,-59.45,-0.0381,1.84,移动止盈/止损,0.1387,1187.41,0.1387,-0.0053,0.4583,-0.005292,0
ZEC-USDT-SWAP,多,2025-05-11 20:00:00,44.45444500,2025-05-12 14:00:00,43.24567500,25.625972,-32.32,-0.0284,1.35,移动止盈/止损,0.1016,1155.08,0.1016,-0.0081,0.7500,-0.002885,0
DOT-USDT-SWAP,多,2025-05-12 12:00:00,5.31953190,2025-05-12 14:00:00,5.12948700,284.783907,-55.91,-0.0369,1.79,移动止盈/止损,0.1326,1099.18,0.1326,-0.0131,0.0833,-0.005016,0
BOME-USDT-SWAP,多,2025-05-11 12:00:00,0.00238496,2025-05-12 17:00:00,0.00230577,1154543.915577,-94.68,-0.0344,3.25,移动止盈/止损,0.2650,1004.50,0.2650,-0.0215,1.2083,-0.008566,2
WIF-USDT-SWAP,多,2025-05-12 02:00:00,1.16205100,2025-05-12 18:00:00,1.09829016,2616.204341,-170.36,-0.0560,3.55,移动止盈/止损,0.2803,834.14,0.2803,-0.0365,0.6667,-0.015656,3
ETH-USDT-SWAP,多,2025-05-13 16:00:00,2631.38617435,2025-05-14 08:00:00,2596.15035900,1.458958,-55.98,-0.0146,4.58,移动止盈/止损,0.3563,778.16,0.3563,-0.0415,0.6667,-0.005171,1
APT-USDT-SWAP,多,2025-05-13 18:00:00,6.20362030,2025-05-14 08:00:00,5.90900904,223.637591,-67.51,-0.0487,1.63,移动止盈/止损,0.1269,710.65,0.1269,-0.0475,0.5833,-0.006275,0
BOME-USDT-SWAP,多,2025-05-13 16:00:00,0.00309413,2025-05-14 13:00:00,0.00279972,351466.944046,-104.72,-0.0963,1.24,移动止盈/止损,0.1029,605.93,0.1029,-0.0567,0.8750,-0.009829,1
PENDLE-USDT-SWAP,多,2025-05-13 12:00:00,4.16252529,2025-05-15 03:00:00,4.04609535,604.659956,-73.38,-0.0292,2.98,移动止盈/止损,0.2342,532.55,0.2342,-0.0632,1.6250,-0.006936,1
SUI-USDT-SWAP,多,2025-05-18 14:00:00,3.97479744,2025-05-18 17:00:00,3.83561640,457.285045,-65.79,-0.0362,2.14,移动止盈/止损,0.1726,466.76,0.1726,-0.0691,0.1250,-0.006257,0
BTC-USDT-SWAP,多,2025-05-18 14:00:00,105470.10683275,2025-05-18 18:00:00,104445.25443000,0.099830,-114.88,-0.0109,12.57,移动止盈/止损,1.0001,351.88,1.0001,-0.0792,0.1667,-0.011047,1
VIRTUAL-USDT-SWAP,多,2025-05-18 16:00:00,2.07210719,2025-05-18 18:00:00,1.96140384,407.531795,-46.10,-0.0546,0.99,移动止盈/止损,0.0800,305.78,0.0800,-0.0833,0.0833,-0.004453,0
BTC-USDT-SWAP,多,2025-05-18 22:00:00,105909.78992000,2025-05-19 03:00:00,103559.04306000,0.029127,-72.13,-0.0234,3.66,移动止盈/止损,0.2993,233.65,0.2993,-0.0897,0.2083,-0.007016,0
TRX-USDT-SWAP,多,2025-05-20 18:00:00,0.27389739,2025-05-20 19:00:00,0.27051295,14833.833110,-55.05,-0.0135,4.85,移动止盈/止损,0.3975,178.60,0.3975,-0.0946,0.0417,-0.005383,0
BNB-USDT-SWAP,多,2025-05-21 04:00:00,661.39613300,2025-05-21 08:00:00,651.47484600,5.265540,-56.39,-0.0162,4.15,移动止盈/止损,0.3401,122.21,0.3401,-0.0996,0.1667,-0.005545,0
